siteID,class,date,quadrant,transect_unit,species_code,species_name,percent_cover,height_cm,notes
Site-001,Closed-Dry,2022-06-21,S,4,Kinore,Kindbergia oregana,15,,
Site-001,Closed-Dry,2022-06-21,S,4,Pteaqu,Pteridium aquilinum,5,,
Site-001,Closed-Dry,2022-06-21,S,5,Gausha,Gaultheria shallon,75,100,
Site-001,Closed-Dry,2022-06-21,S,5,Kinore,Kindbergia oregana,5,,
Site-001,Closed-Dry,2022-06-21,S,5,Pteaqu,Pteridium aquilinum,8,,
Site-001,Closed-Dry,2022-06-21,W,1,Gausha,Gaultheria shallon,95,100,
Site-001,Closed-Dry,2022-06-21,W,1,Kinore,Kindbergia oregana,2,,
Site-001,Closed-Dry,2022-06-21,W,2,Berner,Berberis nervosa,5,,
Site-001,Closed-Dry,2022-06-21,W,2,Bucund,Buckiella undulata,0.5,,
Site-001,Closed-Dry,2022-06-21,W,2,Gausha,Gaultheria shallon,60,110,
Site-001,Closed-Dry,2022-06-21,W,2,Kinore,Kindbergia oregana,10,,
Site-001,Closed-Dry,2022-06-21,W,2,Pteaqu,Pteridium aquilinum,3,,
Site-001,Closed-Dry,2022-06-21,W,3,Gausha,Gaultheria shallon,95,110,
Site-001,Closed-Dry,2022-06-21,W,3,Kinore,Kindbergia oregana,10,,
Site-001,Closed-Dry,2022-06-21,W,4,Gausha,Gaultheria shallon,85,120,
Site-001,Closed-Dry,2022-06-21,W,4,Kinore,Kindbergia oregana,4,,
Site-001,Closed-Dry,2022-06-21,W,5,Berner,Berberis nervosa,0.5,,
Site-001,Closed-Dry,2022-06-21,W,5,Gausha,Gaultheria shallon,80,130,
Site-001,Closed-Dry,2022-06-21,W,5,Pteaqu,Pteridium aquilinum,0.5,,
Site-003,Closed-Dry,2022-06-20,E,1,Gausha,Gaultheria shallon,3,20,
Site-003,Closed-Dry,2022-06-20,E,1,Kinore,Kindbergia oregana,15,,
Site-003,Closed-Dry,2022-06-20,E,2,Gausha,Gaultheria shallon,20,90,
Site-003,Closed-Dry,2022-06-20,E,2,Kinore,Kindbergia oregana,15,,
Site-003,Closed-Dry,2022-06-20,E,3,Gausha,Gaultheria shallon,10,65,
Site-003,Closed-Dry,2022-06-20,E,3,Kinore,Kindbergia oregana,15,,
Site-003,Closed-Dry,2022-06-20,E,4,Gausha,Gaultheria shallon,15,65,
Site-003,Closed-Dry,2022-06-20,E,4,Kinore,Kindbergia oregana,40,,
Site-003,Closed-Dry,2022-06-20,E,5,Gausha,Gaultheria shallon,8,80,
Site-003,Closed-Dry,2022-06-20,E,5,Hypcir,Hypnum circinale,0.5,,
Site-003,Closed-Dry,2022-06-20,E,5,Kinore,Kindbergia oregana,50,,
Site-003,Closed-Dry,2022-06-20,N,1,Gausha,Gaultheria shallon,30,75,shade effect of cedar and Douglas-fir at centroid
Site-003,Closed-Dry,2022-06-20,N,1,Isosto,Isothecium stoloniferum,0.5,,
Site-003,Closed-Dry,2022-06-20,N,1,Kinore,Kindbergia oregana,15,,
Site-003,Closed-Dry,2022-06-20,N,1,Linbor,Linnaea borealis,0.5,,
Site-003,Closed-Dry,2022-06-20,N,1,Lyslat,Lysimachia latifolia,0.5,,
Site-003,Closed-Dry,2022-06-20,N,2,Gausha,Gaultheria shallon,15,45,
Site-003,Closed-Dry,2022-06-20,N,2,Kinore,Kindbergia oregana,35,,
Site-003,Closed-Dry,2022-06-20,N,3,Gausha,Gaultheria shallon,2,25,
Site-003,Closed-Dry,2022-06-20,N,3,Isosto,Isothecium stoloniferum,0.5,,
Site-003,Closed-Dry,2022-06-20,N,3,Kinore,Kindbergia oregana,5,,
Site-003,Closed-Dry,2022-06-20,N,4,Kinore,Kindbergia oregana,0.5,,
Site-003,Closed-Dry,2022-06-20,N,5,Hypcir,Hypnum circinale,0.5,,
Site-003,Closed-Dry,2022-06-20,N,5,Kinore,Kindbergia oregana,1,,
Site-003,Closed-Dry,2022-06-20,S,1,Gausha,Gaultheria shallon,15,60,
Site-003,Closed-Dry,2022-06-20,S,1,Isosto,Isothecium stoloniferum,0.5,,
Site-003,Closed-Dry,2022-06-20,S,1,Kinore,Kindbergia oregana,60,,
Site-003,Closed-Dry,2022-06-20,S,2,Gausha,Gaultheria shallon,15,40,
Site-003,Closed-Dry,2022-06-20,S,2,Kinore,Kindbergia oregana,80,,
Site-003,Closed-Dry,2022-06-20,S,3,Gausha,Gaultheria shallon,10,50,
Site-003,Closed-Dry,2022-06-20,S,3,Kinore,Kindbergia oregana,75,,
Site-003,Closed-Dry,2022-06-20,S,4,Berner,Berberis nervosa,12,,
Site-003,Closed-Dry,2022-06-20,S,4,Gausha,Gaultheria shallon,15,60,
Site-003,Closed-Dry,2022-06-20,S,4,Kinore,Kindbergia oregana,70,,
Site-003,Closed-Dry,2022-06-20,S,5,Berner,Berberis nervosa,12,,
Site-003,Closed-Dry,2022-06-20,S,5,Hylspl,Hylocomium splendens,40,,
Site-003,Closed-Dry,2022-06-20,S,5,Kinore,Kindbergia oregana,40,,
Site-003,Closed-Dry,2022-06-20,S,5,Neocor,Neottia cordata,0.5,,
Site-003,Closed-Dry,2022-06-20,W,1,Kinore,Kindbergia oregana,2,,
Site-003,Closed-Dry,2022-06-20,W,2,Hypcir,Hypnum circinale,2,,
Site-003,Closed-Dry,2022-06-20,W,2,Kinore,Kindbergia oregana,3,,
Site-003,Closed-Dry,2022-06-20,W,3,Gausha,Gaultheria shallon,0.5,25,
Site-003,Closed-Dry,2022-06-20,W,3,Kinore,Kindbergia oregana,5,,
Site-003,Closed-Dry,2022-06-20,W,3,Scabol,Scapania bolanderi,2,,
Site-003,Closed-Dry,2022-06-20,W,4,Berner,Berberis nervosa,1,,
Site-003,Closed-Dry,2022-06-20,W,4,Gausha,Gaultheria shallon,0.5,10,
Site-003,Closed-Dry,2022-06-20,W,4,Hypcir,Hypnum circinale,0.5,,
Site-003,Closed-Dry,2022-06-20,W,4,Kinore,Kindbergia oregana,0.5,,
Site-003,Closed-Dry,2022-06-20,W,4,Scabol,Scapania bolanderi,0.5,,
Site-003,Closed-Dry,2022-06-20,W,5,Gausha,Gaultheria shallon,2,25,
Site-003,Closed-Dry,2022-06-20,W,5,Kinore,Kindbergia oregana,30,,
Site-005,Closed-Dry,2022-06-20,E,1,Gausha,Gaultheria shallon,35,75,
Site-005,Closed-Dry,2022-06-20,E,1,Kinore,Kindbergia oregana,0.5,,
Site-005,Closed-Dry,2022-06-20,E,1,Linbor,Linnaea borealis,2,,
Site-005,Closed-Dry,2022-06-20,E,1,Lyslat,Lysimachia latifolia,0.5,,
Site-005,Closed-Dry,2022-06-20,E,2,Gausha,Gaultheria shallon,30,100,
Site-005,Closed-Dry,2022-06-20,E,2,Kinore,Kindbergia oregana,5,,
Site-005,Closed-Dry,2022-06-20,E,2,Latnev,Lathyrus nevadensis,0.5,,
Site-005,Closed-Dry,2022-06-20,E,2,Linbor,Linnaea borealis,1,,
Site-005,Closed-Dry,2022-06-20,E,3,Berner,Berberis nervosa,2,,
Site-005,Closed-Dry,2022-06-20,E,3,Gausha,Gaultheria shallon,10,40,
Site-005,Closed-Dry,2022-06-20,E,3,Kinore,Kindbergia oregana,2,,
Site-005,Closed-Dry,2022-06-20,E,3,Lyslat,Lysimachia latifolia,1,,
Site-005,Closed-Dry,2022-06-20,E,4,Berner,Berberis nervosa,4,,
Site-005,Closed-Dry,2022-06-20,E,4,Gausha,Gaultheria shallon,2,25,
Site-005,Closed-Dry,2022-06-20,E,4,Kinore,Kindbergia oregana,1,,
Site-005,Closed-Dry,2022-06-20,E,5,Gausha,Gaultheria shallon,0.5,25,
Site-005,Closed-Dry,2022-06-20,E,5,Isosto,Isothecium stoloniferum,0.5,,
Site-005,Closed-Dry,2022-06-20,E,5,Kinore,Kindbergia oregana,0.5,,
Site-005,Closed-Dry,2022-06-20,N,1,Berner,Berberis nervosa,20,,
Site-005,Closed-Dry,2022-06-20,N,1,Gausha,Gaultheria shallon,35,75,macrotopic depression to the south (Gallium triflorum)
Site-005,Closed-Dry,2022-06-20,N,1,Kinore,Kindbergia oregana,10,,
Site-005,Closed-Dry,2022-06-20,N,1,Lyslat,Lysimachia latifolia,1,,
Site-005,Closed-Dry,2022-06-20,N,2,Berner,Berberis nervosa,15,,
Site-005,Closed-Dry,2022-06-20,N,2,Gausha,Gaultheria shallon,10,40,
Site-005,Closed-Dry,2022-06-20,N,2,Isosto,Isothecium stoloniferum,0.5,,
Site-005,Closed-Dry,2022-06-20,N,2,Kinore,Kindbergia oregana,25,,
Site-005,Closed-Dry,2022-06-20,N,3,Berner,Berberis nervosa,0.5,,
Site-005,Closed-Dry,2022-06-20,N,3,Gausha,Gaultheria shallon,3,40,
Site-005,Closed-Dry,2022-06-20,N,3,Isosto,Isothecium stoloniferum,1,,
Site-005,Closed-Dry,2022-06-20,N,3,Kinore,Kindbergia oregana,3,,
Site-005,Closed-Dry,2022-06-20,N,4,Berner,Berberis nervosa,0.5,,
Site-005,Closed-Dry,2022-06-20,N,4,Gausha,Gaultheria shallon,1,40,
Site-005,Closed-Dry,2022-06-20,N,5,Berner,Berberis nervosa,2,,
Site-005,Closed-Dry,2022-06-20,N,5,Isosto,Isothecium stoloniferum,0.5,,
Site-005,Closed-Dry,2022-06-20,N,5,Kinore,Kindbergia oregana,1,,
Site-005,Closed-Dry,2022-06-20,S,1,Isosto,Isothecium stoloniferum,0.5,,
Site-005,Closed-Dry,2022-06-20,S,2,Berner,Berberis nervosa,2,,
Site-005,Closed-Dry,2022-06-20,S,2,Isosto,Isothecium stoloniferum,0.5,,
Site-005,Closed-Dry,2022-06-20,S,2,Kinore,Kindbergia oregana,5,,
Site-005,Closed-Dry,2022-06-20,S,3,Berner,Berberis nervosa,1,,
Site-005,Closed-Dry,2022-06-20,S,3,Galapa,Galium aparine,0.5,,
Site-005,Closed-Dry,2022-06-20,S,3,Gausha,Gaultheria shallon,0.5,25,
Site-005,Closed-Dry,2022-06-20,S,3,Isosto,Isothecium stoloniferum,0.5,,
Site-005,Closed-Dry,2022-06-20,S,3,Kinore,Kindbergia oregana,30,,
Site-005,Closed-Dry,2022-06-20,S,3,Loncil,Lonicera ciliosa,1,,
Site-005,Closed-Dry,2022-06-20,S,4,Adebic,Adenocaulon bicolor,0.5,,
Site-005,Closed-Dry,2022-06-20,S,4,Berner,Berberis nervosa,5,,
Site-005,Closed-Dry,2022-06-20,S,4,Fessub,Festuca subuliflora,0.5,,
Site-005,Closed-Dry,2022-06-20,S,4,Gausha,Gaultheria shallon,0.5,20,
Site-005,Closed-Dry,2022-06-20,S,4,Kinore,Kindbergia oregana,18,,
Site-005,Closed-Dry,2022-06-20,S,4,Latnev,Lathyrus nevadensis,0.5,,
Site-005,Closed-Dry,2022-06-20,S,4,Lonhis,Lonicera hispidula,0.5,,
Site-005,Closed-Dry,2022-06-20,S,5,Berner,Berberis nervosa,0.5,,
Site-005,Closed-Dry,2022-06-20,S,5,Dicfus,Dicranum fuscescens,0.5,,
Site-005,Closed-Dry,2022-06-20,S,5,Fessub,Festuca subuliflora,0.5,,
Site-005,Closed-Dry,2022-06-20,S,5,Galtri,Galium triflorum,2,,
Site-005,Closed-Dry,2022-06-20,S,5,Isosto,Isothecium stoloniferum,2,,
Site-005,Closed-Dry,2022-06-20,S,5,Kinore,Kindbergia oregana,20,,
Site-005,Closed-Dry,2022-06-20,S,5,Latnev,Lathyrus nevadensis,0.5,,
Site-005,Closed-Dry,2022-06-20,S,5,Linbor,Linnaea borealis,1,,
Site-005,Closed-Dry,2022-06-20,S,5,Lonhis,Lonicera hispidula,0.5,,
Site-005,Closed-Dry,2022-06-20,S,5,Lyslat,Lysimachia latifolia,0.5,,
Site-005,Closed-Dry,2022-06-20,S,5,Osmber,Osmorhiza berteroi,0.5,,
Site-005,Closed-Dry,2022-06-20,W,1,Berner,Berberis nervosa,0.5,,
Site-005,Closed-Dry,2022-06-20,W,1,Isosto,Isothecium stoloniferum,0.5,,
Site-005,Closed-Dry,2022-06-20,W,1,Kinore,Kindbergia oregana,0.5,,
Site-005,Closed-Dry,2022-06-20,W,1,Porcor,Porella cordaeana,0.5,,
Site-005,Closed-Dry,2022-06-20,W,2,Berner,Berberis nervosa,5,,
Site-005,Closed-Dry,2022-06-20,W,2,Hypcir,Hypnum circinale,0.5,,
Site-005,Closed-Dry,2022-06-20,W,2,Isosto,Isothecium stoloniferum,2,,
Site-005,Closed-Dry,2022-06-20,W,2,Kinore,Kindbergia oregana,5,,
Site-005,Closed-Dry,2022-06-20,W,2,Loncil,Lonicera ciliosa,0.5,,
Site-005,Closed-Dry,2022-06-20,W,3,Berner,Berberis nervosa,4,,
Site-005,Closed-Dry,2022-06-20,W,3,Gausha,Gaultheria shallon,10,55,
Site-005,Closed-Dry,2022-06-20,W,3,Kinore,Kindbergia oregana,25,,
Site-005,Closed-Dry,2022-06-20,W,4,Berner,Berberis nervosa,20,,
Site-005,Closed-Dry,2022-06-20,W,4,Gausha,Gaultheria shallon,12,55,
Site-005,Closed-Dry,2022-06-20,W,4,Kinore,Kindbergia oregana,60,,
Site-005,Closed-Dry,2022-06-20,W,4,Lyslat,Lysimachia latifolia,0.5,,
Site-005,Closed-Dry,2022-06-20,W,5,Berner,Berberis nervosa,20,,
Site-005,Closed-Dry,2022-06-20,W,5,Brovul,Bromus vulgaris,0.5,,
Site-005,Closed-Dry,2022-06-20,W,5,Fessub,Festuca subuliflora,0.5,,
Site-005,Closed-Dry,2022-06-20,W,5,Gausha,Gaultheria shallon,15,75,
Site-005,Closed-Dry,2022-06-20,W,5,Hylspl,Hylocomium splendens,25,,
Site-005,Closed-Dry,2022-06-20,W,5,Kinore,Kindbergia oregana,25,,
Site-005,Closed-Dry,2022-06-20,W,5,Lyslat,Lysimachia latifolia,0.5,,
Site-005,Closed-Dry,2022-06-20,W,5,Rhytri,Rhytidiadelphus triquetrus,2,,
Site-006,Closed-Dry,2022-06-21,E,1,Hypcir,Hypnum circinale,1,,
Site-006,Closed-Dry,2022-06-21,E,1,Kinore,Kindbergia oregana,90,,
Site-006,Closed-Dry,2022-06-21,E,1,Rhyrob,Rhytidiopsis robusta,0.5,,
Site-006,Closed-Dry,2022-06-21,E,1,Scabol,Scapania bolanderi,1,,
Site-006,Closed-Dry,2022-06-21,E,2,Hypcir,Hypnum circinale,0.5,,
Site-006,Closed-Dry,2022-06-21,E,2,Kinore,Kindbergia oregana,40,,
Site-006,Closed-Dry,2022-06-21,E,2,Pseele,Pseudotaxiphyllum elegans,0.5,,
Site-006,Closed-Dry,2022-06-21,E,3,Hypcir,Hypnum circinale,5,,
Site-006,Closed-Dry,2022-06-21,E,3,Kinore,Kindbergia oregana,50,,
Site-006,Closed-Dry,2022-06-21,E,3,Scabol,Scapania bolanderi,1,,
Site-006,Closed-Dry,2022-06-21,E,4,Hypcir,Hypnum circinale,0.5,,
Site-006,Closed-Dry,2022-06-21,E,4,Isosto,Isothecium stoloniferum,0.5,,
Site-006,Closed-Dry,2022-06-21,E,4,Kinore,Kindbergia oregana,80,,
Site-006,Closed-Dry,2022-06-21,E,5,Hypcir,Hypnum circinale,0.5,,
Site-006,Closed-Dry,2022-06-21,E,5,Kinore,Kindbergia oregana,90,,
Site-006,Closed-Dry,2022-06-21,E,5,Scabol,Scapania bolanderi,0.5,,
Site-006,Closed-Dry,2022-06-21,N,1,Bucund,Buckiella undulata,3,,
Site-006,Closed-Dry,2022-06-21,N,1,Hypcir,Hypnum circinale,0.5,,
Site-006,Closed-Dry,2022-06-21,N,1,Kinore,Kindbergia oregana,87,,
Site-006,Closed-Dry,2022-06-21,N,2,Bucund,Buckiella undulata,1,,
Site-006,Closed-Dry,2022-06-21,N,2,Hypcir,Hypnum circinale,1,,
Site-006,Closed-Dry,2022-06-21,N,2,Kinore,Kindbergia oregana,70,,
Site-006,Closed-Dry,2022-06-21,N,2,Lopbid,Lophocolea bidentata,0.5,,
Site-006,Closed-Dry,2022-06-21,N,2,Scabol,Scapania bolanderi,0.5,,
Site-006,Closed-Dry,2022-06-21,N,3,Isosto,Isothecium stoloniferum,0.5,,
Site-006,Closed-Dry,2022-06-21,N,3,Kinore,Kindbergia oregana,90,,
Site-006,Closed-Dry,2022-06-21,N,3,Scabol,Scapania bolanderi,0.5,,
Site-006,Closed-Dry,2022-06-21,N,4,Hypcir,Hypnum circinale,5,,
Site-006,Closed-Dry,2022-06-21,N,4,Isosto,Isothecium stoloniferum,0.5,,
Site-006,Closed-Dry,2022-06-21,N,4,Kinore,Kindbergia oregana,80,,
Site-006,Closed-Dry,2022-06-21,N,4,Scabol,Scapania bolanderi,0.5,,
Site-006,Closed-Dry,2022-06-21,N,5,Fessub,Festuca subuliflora,0.5,,
Site-006,Closed-Dry,2022-06-21,N,5,Hypcir,Hypnum circinale,0.5,,
Site-006,Closed-Dry,2022-06-21,N,5,Kinore,Kindbergia oregana,95,,
Site-006,Closed-Dry,2022-06-21,S,1,Fessub,Festuca subuliflora,0.5,,
Site-006,Closed-Dry,2022-06-21,S,1,Kinore,Kindbergia oregana,95,,
Site-006,Closed-Dry,2022-06-21,S,1,Scabol,Scapania bolanderi,0.5,,
Site-006,Closed-Dry,2022-06-21,S,2,Kinore,Kindbergia oregana,90,,
Site-006,Closed-Dry,2022-06-21,S,2,Scabol,Scapania bolanderi,1,,
Site-006,Closed-Dry,2022-06-21,S,3,Hypcir,Hypnum circinale,2,,
Site-006,Closed-Dry,2022-06-21,S,3,Kinore,Kindbergia oregana,60,,
Site-006,Closed-Dry,2022-06-21,S,3,Scabol,Scapania bolanderi,1,,
Site-006,Closed-Dry,2022-06-21,S,4,Dicfus,Dicranum fuscescens,0.5,,
Site-006,Closed-Dry,2022-06-21,S,4,Hypcir,Hypnum circinale,1,,
Site-006,Closed-Dry,2022-06-21,S,4,Isosto,Isothecium stoloniferum,55,,
Site-006,Closed-Dry,2022-06-21,S,4,Kinore,Kindbergia oregana,45,,
Site-006,Closed-Dry,2022-06-21,S,4,Scabol,Scapania bolanderi,0.5,,
Site-006,Closed-Dry,2022-06-21,S,5,Corsp,Corallorhiza,0.5,,unidentifiable
Site-006,Closed-Dry,2022-06-21,S,5,Hypcir,Hypnum circinale,0.5,,
Site-006,Closed-Dry,2022-06-21,S,5,Kinore,Kindbergia oregana,80,,
Site-006,Closed-Dry,2022-06-21,S,5,Neocor,Neottia cordata,0.5,,
Site-006,Closed-Dry,2022-06-21,S,5,Ptical,Ptilidium californicum,0.5,,
Site-006,Closed-Dry,2022-06-21,S,5,Rhyrob,Rhytidiopsis robusta,2,,
Site-006,Closed-Dry,2022-06-21,W,1,Bucund,Buckiella undulata,5,,
Site-006,Closed-Dry,2022-06-21,W,1,Kinore,Kindbergia oregana,70,,
Site-006,Closed-Dry,2022-06-21,W,1,Rhigla,Rhizomnium glabrescens,0.5,,
Site-006,Closed-Dry,2022-06-21,W,2,Bucund,Buckiella undulata,5,,
Site-006,Closed-Dry,2022-06-21,W,2,Kinore,Kindbergia oregana,90,,
Site-006,Closed-Dry,2022-06-21,W,3,Kinore,Kindbergia oregana,95,,
Site-006,Closed-Dry,2022-06-21,W,4,Hypcir,Hypnum circinale,0.5,,
Site-006,Closed-Dry,2022-06-21,W,4,Kinore,Kindbergia oregana,95,,
Site-006,Closed-Dry,2022-06-21,W,5,Isosto,Isothecium stoloniferum,1,,
Site-006,Closed-Dry,2022-06-21,W,5,Kinore,Kindbergia oregana,90,,
Site-007,Closed-Dry,2022-06-22,E,1,Achtri,Achlys triphylla,1,,
Site-007,Closed-Dry,2022-06-22,E,1,Berner,Berberis nervosa,1,,
Site-007,Closed-Dry,2022-06-22,E,1,Gausha,Gaultheria shallon,90,110,
Site-007,Closed-Dry,2022-06-22,E,1,Kinore,Kindbergia oregana,60,,
Site-007,Closed-Dry,2022-06-22,E,1,Ruburs,Rubus ursinus,1,,
Site-007,Closed-Dry,2022-06-22,E,2,Achtri,Achlys triphylla,5,,
Site-007,Closed-Dry,2022-06-22,E,2,Berner,Berberis nervosa,3,,
Site-007,Closed-Dry,2022-06-22,E,2,Gausha,Gaultheria shallon,45,100,
Site-007,Closed-Dry,2022-06-22,E,2,Kinore,Kindbergia oregana,20,,
Site-007,Closed-Dry,2022-06-22,E,2,Polmun,Polystichum munitum,50,,
Site-007,Closed-Dry,2022-06-22,E,3,Achtri,Achlys triphylla,0.5,,
Site-007,Closed-Dry,2022-06-22,E,3,Gausha,Gaultheria shallon,75,90,
Site-007,Closed-Dry,2022-06-22,E,3,Kinore,Kindbergia oregana,35,,
Site-007,Closed-Dry,2022-06-22,E,3,Polmun,Polystichum munitum,45,,
Site-007,Closed-Dry,2022-06-22,E,4,Achtri,Achlys triphylla,0.5,,
Site-007,Closed-Dry,2022-06-22,E,4,Gausha,Gaultheria shallon,90,100,
Site-007,Closed-Dry,2022-06-22,E,4,Kinore,Kindbergia oregana,80,,
Site-007,Closed-Dry,2022-06-22,E,5,Gausha,Gaultheria shallon,55,70,
Site-007,Closed-Dry,2022-06-22,E,5,Kinore,Kindbergia oregana,90,,
Site-007,Closed-Dry,2022-06-22,E,5,Melsub,Melica subulata,0.5,,
Site-007,Closed-Dry,2022-06-22,E,5,Polmun,Polystichum munitum,7,,
Site-007,Closed-Dry,2022-06-22,N,1,Achtri,Achlys triphylla,10,,
Site-007,Closed-Dry,2022-06-22,N,1,Berner,Berberis nervosa,5,,
Site-007,Closed-Dry,2022-06-22,N,1,Brovul,Bromus vulgaris,1,,
Site-007,Closed-Dry,2022-06-22,N,1,Gausha,Gaultheria shallon,40,50,
Site-007,Closed-Dry,2022-06-22,N,1,Kinore,Kindbergia oregana,40,,
Site-007,Closed-Dry,2022-06-22,N,1,Polmun,Polystichum munitum,2,,
Site-007,Closed-Dry,2022-06-22,N,2,Achtri,Achlys triphylla,7,,
Site-007,Closed-Dry,2022-06-22,N,2,Berner,Berberis nervosa,2,,
Site-007,Closed-Dry,2022-06-22,N,2,Galtri,Galium triflorum,1,,
Site-007,Closed-Dry,2022-06-22,N,2,Gausha,Gaultheria shallon,30,70,
Site-007,Closed-Dry,2022-06-22,N,2,Kinore,Kindbergia oregana,25,,
Site-007,Closed-Dry,2022-06-22,N,2,Polmun,Polystichum munitum,20,,
Site-007,Closed-Dry,2022-06-22,N,3,Berner,Berberis nervosa,7,,
Site-007,Closed-Dry,2022-06-22,N,3,Galtri,Galium triflorum,3,,
Site-007,Closed-Dry,2022-06-22,N,3,Gausha,Gaultheria shallon,60,75,
Site-007,Closed-Dry,2022-06-22,N,3,Kinore,Kindbergia oregana,60,,
Site-007,Closed-Dry,2022-06-22,N,3,Polmun,Polystichum munitum,8,,
Site-007,Closed-Dry,2022-06-22,N,4,Achtri,Achlys triphylla,1,,
Site-007,Closed-Dry,2022-06-22,N,4,Berner,Berberis nervosa,2,,
Site-007,Closed-Dry,2022-06-22,N,4,Brovul,Bromus vulgaris,0.5,,
Site-007,Closed-Dry,2022-06-22,N,4,Gausha,Gaultheria shallon,70,100,
Site-007,Closed-Dry,2022-06-22,N,4,Kinore,Kindbergia oregana,70,,
Site-007,Closed-Dry,2022-06-22,N,4,Polmun,Polystichum munitum,25,,
Site-007,Closed-Dry,2022-06-22,N,5,Achtri,Achlys triphylla,1,,
Site-007,Closed-Dry,2022-06-22,N,5,Fessub,Festuca subuliflora,0.5,,
Site-007,Closed-Dry,2022-06-22,N,5,Galtri,Galium triflorum,0.5,,
Site-007,Closed-Dry,2022-06-22,N,5,Gausha,Gaultheria shallon,60,75,
Site-007,Closed-Dry,2022-06-22,N,5,Isosto,Isothecium stoloniferum,5,,
Site-007,Closed-Dry,2022-06-22,N,5,Kinore,Kindbergia oregana,75,,
Site-007,Closed-Dry,2022-06-22,N,5,Scabol,Scapania bolanderi,0.5,,
Site-007,Closed-Dry,2022-06-22,S,1,Achtri,Achlys triphylla,0.5,,
Site-007,Closed-Dry,2022-06-22,S,1,Berner,Berberis nervosa,5,,
Site-007,Closed-Dry,2022-06-22,S,1,Galtri,Galium triflorum,4,,
Site-007,Closed-Dry,2022-06-22,S,1,Gausha,Gaultheria shallon,25,80,
Site-007,Closed-Dry,2022-06-22,S,1,Isosto,Isothecium stoloniferum,1,,
