"","siteID","longitude","latitude","condition","class","date","quadrant","transect_unit","species_code","species_name","percent_cover","height_cm","notes"
"14","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",1,"Gausha","Gaultheria shallon",80,14,"recovering W. hemlock, significant salal groundcover"
"15","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",1,"Kinore","Kindbergia oregana",13.7,NA,""
"16","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",1,"Tsuhet","Tsuga heterophylla",10,NA,""
"17","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",2,"Gausha","Gaultheria shallon",65,130,""
"18","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",2,"Kinore","Kindbergia oregana",15,NA,""
"19","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",2,"Tsuhet","Tsuga heterophylla",40,NA,""
"20","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",3,"Gausha","Gaultheria shallon",78,105,""
"21","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",3,"Kinore","Kindbergia oregana",15,NA,""
"22","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",3,"Tsuhet","Tsuga heterophylla",12,NA,""
"23","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",4,"Berner","Berberis nervosa",3,NA,""
"24","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",4,"Gausha","Gaultheria shallon",95,110,""
"25","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",4,"Kinore","Kindbergia oregana",15,NA,""
"26","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",5,"Gausha","Gaultheria shallon",90,100,""
"27","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",5,"Isosto","Isothecium stoloniferum",0.5,NA,""
"28","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","N",5,"Kinore","Kindbergia oregana",7,NA,""
"29","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",1,"Gausha","Gaultheria shallon",95,110,""
"30","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",1,"Kinore","Kindbergia oregana",2,NA,""
"31","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",1,"Pteaqu","Pteridium aquilinum",5,NA,""
"32","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",2,"Berner","Berberis nervosa",0.5,NA,""
"33","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",2,"Gausha","Gaultheria shallon",80,115,""
"34","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",2,"Kinore","Kindbergia oregana",20,NA,""
"35","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",2,"Pteaqu","Pteridium aquilinum",1,NA,""
"36","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",3,"Gausha","Gaultheria shallon",80,100,""
"37","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",3,"Kinore","Kindbergia oregana",10,NA,""
"38","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",3,"Pteaqu","Pteridium aquilinum",5,NA,""
"39","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",4,"Gausha","Gaultheria shallon",75,125,""
"40","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",4,"Kinore","Kindbergia oregana",15,NA,""
"41","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",4,"Pteaqu","Pteridium aquilinum",5,NA,""
"42","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",5,"Gausha","Gaultheria shallon",75,100,""
"43","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",5,"Kinore","Kindbergia oregana",5,NA,""
"44","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","S",5,"Pteaqu","Pteridium aquilinum",8,NA,""
"45","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",1,"Gausha","Gaultheria shallon",95,100,""
"46","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",1,"Kinore","Kindbergia oregana",2,NA,""
"47","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",2,"Berner","Berberis nervosa",5,NA,""
"48","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",2,"Bucund","Buckiella undulata",0.5,NA,""
"49","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",2,"Gausha","Gaultheria shallon",60,110,""
"50","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",2,"Kinore","Kindbergia oregana",10,NA,""
"51","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",2,"Pteaqu","Pteridium aquilinum",3,NA,""
"52","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",3,"Gausha","Gaultheria shallon",95,110,""
"53","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",3,"Kinore","Kindbergia oregana",10,NA,""
"54","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",4,"Gausha","Gaultheria shallon",85,120,""
"55","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",4,"Kinore","Kindbergia oregana",4,NA,""
"56","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",5,"Berner","Berberis nervosa",0.5,NA,""
"57","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",5,"Gausha","Gaultheria shallon",80,130,""
"58","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","W",5,"Pteaqu","Pteridium aquilinum",0.5,NA,""
"59","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","E",1,"Gausha","Gaultheria shallon",3,20,""
"60","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","E",1,"Kinore","Kindbergia oregana",15,NA,""
"61","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","E",2,"Gausha","Gaultheria shallon",20,90,""
"62","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","E",2,"Kinore","Kindbergia oregana",15,NA,""
"63","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","E",3,"Gausha","Gaultheria shallon",10,65,""
"64","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","E",3,"Kinore","Kindbergia oregana",15,NA,""
"65","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","E",4,"Gausha","Gaultheria shallon",15,65,""
"66","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","E",4,"Kinore","Kindbergia oregana",40,NA,""
"67","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","E",5,"Gausha","Gaultheria shallon",8,80,""
"68","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","E",5,"Hypcir","Hypnum circinale",0.5,NA,""
"69","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","E",5,"Kinore","Kindbergia oregana",50,NA,""
"70","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",1,"Gausha","Gaultheria shallon",30,75,"shade effect of cedar and Douglas-fir at centroid"
"71","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",1,"Isosto","Isothecium stoloniferum",0.5,NA,""
"72","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",1,"Kinore","Kindbergia oregana",15,NA,""
"73","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",1,"Linbor","Linnaea borealis",0.5,NA,""
"74","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",1,"Lyslat","Lysimachia latifolia",0.5,NA,""
"75","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",2,"Gausha","Gaultheria shallon",15,45,""
"76","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",2,"Kinore","Kindbergia oregana",35,NA,""
"77","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",3,"Gausha","Gaultheria shallon",2,25,""
"78","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",3,"Isosto","Isothecium stoloniferum",0.5,NA,""
"79","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",3,"Kinore","Kindbergia oregana",5,NA,""
"80","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",4,"Kinore","Kindbergia oregana",0.5,NA,""
"81","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",5,"Hypcir","Hypnum circinale",0.5,NA,""
"82","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","N",5,"Kinore","Kindbergia oregana",1,NA,""
"83","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",1,"Gausha","Gaultheria shallon",15,60,""
"84","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",1,"Isosto","Isothecium stoloniferum",0.5,NA,""
"85","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",1,"Kinore","Kindbergia oregana",60,NA,""
"86","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",2,"Gausha","Gaultheria shallon",15,40,""
"87","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",2,"Kinore","Kindbergia oregana",80,NA,""
"88","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",3,"Gausha","Gaultheria shallon",10,50,""
"89","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",3,"Kinore","Kindbergia oregana",75,NA,""
"90","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",4,"Berner","Berberis nervosa",12,NA,""
"91","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",4,"Gausha","Gaultheria shallon",15,60,""
"92","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",4,"Kinore","Kindbergia oregana",70,NA,""
"93","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Berner","Berberis nervosa",12,NA,""
"94","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Hylspl","Hylocomium splendens",40,NA,""
"95","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Kinore","Kindbergia oregana",40,NA,""
"96","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Neocor","Neottia cordata",0.5,NA,""
"97","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",1,"Kinore","Kindbergia oregana",2,NA,""
"98","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",2,"Hypcir","Hypnum circinale",2,NA,""
"99","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",2,"Kinore","Kindbergia oregana",3,NA,""
"100","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",3,"Gausha","Gaultheria shallon",0.5,25,""
"101","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",3,"Kinore","Kindbergia oregana",5,NA,""
"102","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",3,"Scabol","Scapania bolanderi",2,NA,""
"103","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",4,"Berner","Berberis nervosa",1,NA,""
"104","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",4,"Gausha","Gaultheria shallon",0.5,10,""
"105","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",4,"Hypcir","Hypnum circinale",0.5,NA,""
"106","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",4,"Kinore","Kindbergia oregana",0.5,NA,""
"107","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",4,"Scabol","Scapania bolanderi",0.5,NA,""
"108","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",5,"Gausha","Gaultheria shallon",2,25,""
"109","Site-003",-123.5259879,48.81747207,"Closed-Dry","Closed-Dry","2022-06-20","W",5,"Kinore","Kindbergia oregana",30,NA,""
"110","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",1,"Gausha","Gaultheria shallon",35,75,""
"111","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",1,"Kinore","Kindbergia oregana",0.5,NA,""
"112","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",1,"Linbor","Linnaea borealis",2,NA,""
"113","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",1,"Lyslat","Lysimachia latifolia",0.5,NA,""
"114","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",2,"Gausha","Gaultheria shallon",30,100,""
"115","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",2,"Kinore","Kindbergia oregana",5,NA,""
"116","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",2,"Latnev","Lathyrus nevadensis",0.5,NA,""
"117","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",2,"Linbor","Linnaea borealis",1,NA,""
"118","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",3,"Berner","Berberis nervosa",2,NA,""
"119","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",3,"Gausha","Gaultheria shallon",10,40,""
"120","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",3,"Kinore","Kindbergia oregana",2,NA,""
"121","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",3,"Lyslat","Lysimachia latifolia",1,NA,""
"122","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",4,"Berner","Berberis nervosa",4,NA,""
"123","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",4,"Gausha","Gaultheria shallon",2,25,""
"124","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",4,"Kinore","Kindbergia oregana",1,NA,""
"125","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",5,"Gausha","Gaultheria shallon",0.5,25,""
"126","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",5,"Isosto","Isothecium stoloniferum",0.5,NA,""
"127","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","E",5,"Kinore","Kindbergia oregana",0.5,NA,""
"128","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",1,"Berner","Berberis nervosa",20,NA,""
"129","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",1,"Gausha","Gaultheria shallon",35,75,"macrotopic depression to the south (Gallium triflorum)"
"130","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",1,"Kinore","Kindbergia oregana",10,NA,""
"131","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",1,"Lyslat","Lysimachia latifolia",1,NA,""
"132","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",2,"Berner","Berberis nervosa",15,NA,""
"133","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",2,"Gausha","Gaultheria shallon",10,40,""
"134","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",2,"Isosto","Isothecium stoloniferum",0.5,NA,""
"135","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",2,"Kinore","Kindbergia oregana",25,NA,""
"136","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",3,"Berner","Berberis nervosa",0.5,NA,""
"137","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",3,"Gausha","Gaultheria shallon",3,40,""
"138","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",3,"Isosto","Isothecium stoloniferum",1,NA,""
"139","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",3,"Kinore","Kindbergia oregana",3,NA,""
"140","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",4,"Berner","Berberis nervosa",0.5,NA,""
"141","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",4,"Gausha","Gaultheria shallon",1,40,""
"142","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",5,"Berner","Berberis nervosa",2,NA,""
"143","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",5,"Isosto","Isothecium stoloniferum",0.5,NA,""
"144","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","N",5,"Kinore","Kindbergia oregana",1,NA,""
"145","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",1,"Isosto","Isothecium stoloniferum",0.5,NA,""
"146","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",2,"Berner","Berberis nervosa",2,NA,""
"147","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",2,"Isosto","Isothecium stoloniferum",0.5,NA,""
"148","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",2,"Kinore","Kindbergia oregana",5,NA,""
"149","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",3,"Berner","Berberis nervosa",1,NA,""
"150","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",3,"Galapa","Galium aparine",0.5,NA,""
"151","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",3,"Gausha","Gaultheria shallon",0.5,25,""
"152","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",3,"Isosto","Isothecium stoloniferum",0.5,NA,""
"153","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",3,"Kinore","Kindbergia oregana",30,NA,""
"154","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",3,"Loncil","Lonicera ciliosa",1,NA,""
"155","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",4,"Adebic","Adenocaulon bicolor",0.5,NA,""
"156","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",4,"Berner","Berberis nervosa",5,NA,""
"157","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",4,"Fessub","Festuca subuliflora",0.5,NA,""
"158","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",4,"Gausha","Gaultheria shallon",0.5,20,""
"159","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",4,"Kinore","Kindbergia oregana",18,NA,""
"160","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",4,"Latnev","Lathyrus nevadensis",0.5,NA,""
"161","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",4,"Lonhis","Lonicera hispidula",0.5,NA,""
"162","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Berner","Berberis nervosa",0.5,NA,""
"163","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Dicfus","Dicranum fuscescens",0.5,NA,""
"164","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Fessub","Festuca subuliflora",0.5,NA,""
"165","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Galtri","Galium triflorum",2,NA,""
"166","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Isosto","Isothecium stoloniferum",2,NA,""
"167","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Kinore","Kindbergia oregana",20,NA,""
"168","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Latnev","Lathyrus nevadensis",0.5,NA,""
"169","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Linbor","Linnaea borealis",1,NA,""
"170","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Lonhis","Lonicera hispidula",0.5,NA,""
"171","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Lyslat","Lysimachia latifolia",0.5,NA,""
"172","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","S",5,"Osmber","Osmorhiza berteroi",0.5,NA,""
"173","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",1,"Berner","Berberis nervosa",0.5,NA,""
"174","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",1,"Isosto","Isothecium stoloniferum",0.5,NA,""
"175","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",1,"Kinore","Kindbergia oregana",0.5,NA,""
"176","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",1,"Porcor","Porella cordaeana",0.5,NA,""
"177","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",2,"Berner","Berberis nervosa",5,NA,""
"178","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",2,"Hypcir","Hypnum circinale",0.5,NA,""
"179","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",2,"Isosto","Isothecium stoloniferum",2,NA,""
"180","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",2,"Kinore","Kindbergia oregana",5,NA,""
"181","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",2,"Loncil","Lonicera ciliosa",0.5,NA,""
"182","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",3,"Berner","Berberis nervosa",4,NA,""
"183","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",3,"Gausha","Gaultheria shallon",10,55,""
"184","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",3,"Kinore","Kindbergia oregana",25,NA,""
"185","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",4,"Berner","Berberis nervosa",20,NA,""
"186","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",4,"Gausha","Gaultheria shallon",12,55,""
"187","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",4,"Kinore","Kindbergia oregana",60,NA,""
"188","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",4,"Lyslat","Lysimachia latifolia",0.5,NA,""
"189","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",5,"Berner","Berberis nervosa",20,NA,""
"190","Site-005",-123.5268476,48.81843985,"Closed-Dry","Closed-Dry","2022-06-20","W",5,"Brovul","Bromus vulgaris",0.5,NA,""
